comm1	comm2	terms1	terms2	jaccard
4	4	13	13	1
4	77	13	150	0
4	223	13	2	0
4	13	13	57	0
4	341	13	4	0
4	241	13	2	0
4	101	13	20	0
4	117	13	150	0
4	153	13	45	0.017543859649122806
4	10	13	36	0
4	322	13	133	0
4	70	13	8	0
4	7	13	8	0
4	2	13	22	0
4	251	13	4	0
4	266	13	16	0
4	19	13	35	0
77	4	150	13	0
77	77	150	150	1
77	223	150	2	0
77	13	150	57	0
77	341	150	4	0
77	241	150	2	0
77	101	150	20	0
77	117	150	150	0
77	153	150	45	0
77	10	150	36	0
77	322	150	133	0.0035460992907801418
77	70	150	8	0
77	7	150	8	0
77	2	150	22	0
77	251	150	4	0
77	266	150	16	0
77	19	150	35	0
223	4	2	13	0
223	77	2	150	0
223	223	2	2	1
223	13	2	57	0
223	341	2	4	0
223	241	2	2	0
223	101	2	20	0
223	117	2	150	0
223	153	2	45	0
223	10	2	36	0
223	322	2	133	0.007462686567164179
223	70	2	8	0
223	7	2	8	0
223	2	2	22	0
223	251	2	4	0
223	266	2	16	0
223	19	2	35	0.05714285714285714
13	4	57	13	0
13	77	57	150	0
13	223	57	2	0
13	13	57	57	1
13	341	57	4	0
13	241	57	2	0
13	101	57	20	0
13	117	57	150	0
13	153	57	45	0.04081632653061224
13	10	57	36	0
13	322	57	133	0
13	70	57	8	0
13	7	57	8	0
13	2	57	22	0
13	251	57	4	0
13	266	57	16	0
13	19	57	35	0
341	4	4	13	0
341	77	4	150	0
341	223	4	2	0
341	13	4	57	0
341	341	4	4	1
341	241	4	2	0
341	101	4	20	0
341	117	4	150	0
341	153	4	45	0
341	10	4	36	0
341	322	4	133	0
341	70	4	8	0
341	7	4	8	0
341	2	4	22	0
341	251	4	4	0
341	266	4	16	0
341	19	4	35	0
241	4	2	13	0
241	77	2	150	0
241	223	2	2	0
241	13	2	57	0
241	341	2	4	0
241	241	2	2	1
241	101	2	20	0
241	117	2	150	0
241	153	2	45	0
241	10	2	36	0
241	322	2	133	0
241	70	2	8	0
241	7	2	8	0
241	2	2	22	0
241	251	2	4	0
241	266	2	16	0
241	19	2	35	0
101	4	20	13	0
101	77	20	150	0
101	223	20	2	0
101	13	20	57	0
101	341	20	4	0
101	241	20	2	0
101	101	20	20	1
101	117	20	150	0
101	153	20	45	0
101	10	20	36	0.4
101	322	20	133	0
101	70	20	8	0
101	7	20	8	0
101	2	20	22	0
101	251	20	4	0
101	266	20	16	0
101	19	20	35	0
117	4	150	13	0
117	77	150	150	0
117	223	150	2	0
117	13	150	57	0
117	341	150	4	0
117	241	150	2	0
117	101	150	20	0
117	117	150	150	1
117	153	150	45	0.015625
117	10	150	36	0
117	322	150	133	0
117	70	150	8	0
117	7	150	8	0
117	2	150	22	0
117	251	150	4	0
117	266	150	16	0.024691358024691357
117	19	150	35	0
153	4	45	13	0.017543859649122806
153	77	45	150	0
153	223	45	2	0
153	13	45	57	0.04081632653061224
153	341	45	4	0
153	241	45	2	0
153	101	45	20	0
153	117	45	150	0.015625
153	153	45	45	1
153	10	45	36	0
153	322	45	133	0.04093567251461988
153	70	45	8	0
153	7	45	8	0
153	2	45	22	0
153	251	45	4	0
153	266	45	16	0
153	19	45	35	0
10	4	36	13	0
10	77	36	150	0
10	223	36	2	0
10	13	36	57	0
10	341	36	4	0
10	241	36	2	0
10	101	36	20	0.4
10	117	36	150	0
10	153	36	45	0
10	10	36	36	1
10	322	36	133	0
10	70	36	8	0
10	7	36	8	0
10	2	36	22	0
10	251	36	4	0
10	266	36	16	0
10	19	36	35	0
322	4	133	13	0
322	77	133	150	0.0035460992907801418
322	223	133	2	0.007462686567164179
322	13	133	57	0
322	341	133	4	0
322	241	133	2	0
322	101	133	20	0
322	117	133	150	0
322	153	133	45	0.04093567251461988
322	10	133	36	0
322	322	133	133	1
322	70	133	8	0
322	7	133	8	0
322	2	133	22	0.013071895424836602
322	251	133	4	0
322	266	133	16	0
322	19	133	35	0.037037037037037035
70	4	8	13	0
70	77	8	150	0
70	223	8	2	0
70	13	8	57	0
70	341	8	4	0
70	241	8	2	0
70	101	8	20	0
70	117	8	150	0
70	153	8	45	0
70	10	8	36	0
70	322	8	133	0
70	70	8	8	1
70	7	8	8	0
70	2	8	22	0
70	251	8	4	0
70	266	8	16	0
70	19	8	35	0
7	4	8	13	0
7	77	8	150	0
7	223	8	2	0
7	13	8	57	0
7	341	8	4	0
7	241	8	2	0
7	101	8	20	0
7	117	8	150	0
7	153	8	45	0
7	10	8	36	0
7	322	8	133	0
7	70	8	8	0
7	7	8	8	1
7	2	8	22	0
7	251	8	4	0
7	266	8	16	0
7	19	8	35	0
2	4	22	13	0
2	77	22	150	0
2	223	22	2	0
2	13	22	57	0
2	341	22	4	0
2	241	22	2	0
2	101	22	20	0
2	117	22	150	0
2	153	22	45	0
2	10	22	36	0
2	322	22	133	0.013071895424836602
2	70	22	8	0
2	7	22	8	0
2	2	22	22	1
2	251	22	4	0
2	266	22	16	0
2	19	22	35	0.05555555555555555
251	4	4	13	0
251	77	4	150	0
251	223	4	2	0
251	13	4	57	0
251	341	4	4	0
251	241	4	2	0
251	101	4	20	0
251	117	4	150	0
251	153	4	45	0
251	10	4	36	0
251	322	4	133	0
251	70	4	8	0
251	7	4	8	0
251	2	4	22	0
251	251	4	4	1
251	266	4	16	0.1111111111111111
251	19	4	35	0
266	4	16	13	0
266	77	16	150	0
266	223	16	2	0
266	13	16	57	0
266	341	16	4	0
266	241	16	2	0
266	101	16	20	0
266	117	16	150	0.024691358024691357
266	153	16	45	0
266	10	16	36	0
266	322	16	133	0
266	70	16	8	0
266	7	16	8	0
266	2	16	22	0
266	251	16	4	0.1111111111111111
266	266	16	16	1
266	19	16	35	0
19	4	35	13	0
19	77	35	150	0
19	223	35	2	0.05714285714285714
19	13	35	57	0
19	341	35	4	0
19	241	35	2	0
19	101	35	20	0
19	117	35	150	0
19	153	35	45	0
19	10	35	36	0
19	322	35	133	0.037037037037037035
19	70	35	8	0
19	7	35	8	0
19	2	35	22	0.05555555555555555
19	251	35	4	0
19	266	35	16	0
19	19	35	35	1
